Time,Pic,Temp,Weather,Wind,Arrow,Humidity,Barometer,Visibility
00:00,//c.tadst.com/gfx/w/svg/wt-14.svg,29 °C,Passing clouds.,13 km/h,↑,74%,1011 mbar,N/A
01:00,//c.tadst.com/gfx/w/svg/wt-14.svg,29 °C,Passing clouds.,9 km/h,↑,74%,1011 mbar,N/A
02:00,//c.tadst.com/gfx/w/svg/wt-14.svg,29 °C,Passing clouds.,7 km/h,↑,74%,1011 mbar,N/A
03:00,//c.tadst.com/gfx/w/svg/wt-15.svg,29 °C,Partly cloudy.,9 km/h,↑,79%,1011 mbar,N/A
04:00,//c.tadst.com/gfx/w/svg/wt-15.svg,29 °C,Partly cloudy.,9 km/h,↑,79%,1011 mbar,N/A
05:00,//c.tadst.com/gfx/w/svg/wt-14.svg,29 °C,Passing clouds.,9 km/h,↑,76%,1011 mbar,N/A
06:00,//c.tadst.com/gfx/w/svg/wt-14.svg,29 °C,Passing clouds.,11 km/h,↑,74%,1011 mbar,N/A
07:00,//c.tadst.com/gfx/w/svg/wt-14.svg,29 °C,Passing clouds.,11 km/h,↑,74%,1011 mbar,N/A
08:00,//c.tadst.com/gfx/w/svg/wt-6.svg,29 °C,Partly sunny.,13 km/h,↑,74%,1011 mbar,N/A
09:00,//c.tadst.com/gfx/w/svg/wt-6.svg,29 °C,Partly sunny.,15 km/h,↑,74%,1012 mbar,N/A
10:00,//c.tadst.com/gfx/w/svg/wt-6.svg,30 °C,Broken clouds.,17 km/h,↑,70%,1012 mbar,N/A
11:00,//c.tadst.com/gfx/w/svg/wt-6.svg,31 °C,Broken clouds.,15 km/h,↑,66%,1012 mbar,N/A
12:00,//c.tadst.com/gfx/w/svg/wt-6.svg,32 °C,Broken clouds.,19 km/h,↑,59%,1012 mbar,N/A
13:00,//c.tadst.com/gfx/w/svg/wt-6.svg,33 °C,Partly sunny.,17 km/h,↑,56%,1011 mbar,N/A
14:00,//c.tadst.com/gfx/w/svg/wt-6.svg,33 °C,Partly sunny.,20 km/h,↑,52%,1011 mbar,N/A
15:00,//c.tadst.com/gfx/w/svg/wt-6.svg,32 °C,Partly sunny.,22 km/h,↑,55%,1010 mbar,N/A
16:00,//c.tadst.com/gfx/w/svg/wt-6.svg,32 °C,Partly sunny.,19 km/h,↑,55%,1010 mbar,N/A
17:00,//c.tadst.com/gfx/w/svg/wt-6.svg,31 °C,Partly sunny.,20 km/h,↑,62%,1009 mbar,N/A
18:00,//c.tadst.com/gfx/w/svg/wt-6.svg,31 °C,Partly sunny.,15 km/h,↑,59%,1010 mbar,N/A
19:00,//c.tadst.com/gfx/w/svg/wt-6.svg,31 °C,Partly sunny.,15 km/h,↑,59%,1010 mbar,N/A
20:00,//c.tadst.com/gfx/w/svg/wt-14.svg,30 °C,Passing clouds.,15 km/h,↑,66%,1010 mbar,N/A
21:00,//c.tadst.com/gfx/w/svg/wt-14.svg,30 °C,Passing clouds.,13 km/h,↑,66%,1011 mbar,N/A
22:00,//c.tadst.com/gfx/w/svg/wt-14.svg,30 °C,Passing clouds.,13 km/h,↑,70%,1011 mbar,N/A
23:00,//c.tadst.com/gfx/w/svg/wt-14.svg,29 °C,Passing clouds.,11 km/h,↑,74%,1012 mbar,N/A
